item_id,produto_ml,marca_ml,sku_ml,receita,pedidos,candidato_seconds_id,candidato_seconds_produto,candidato_seconds_sku,candidato_seconds_marca,candidato_cmv_unitario,score_similaridade,metodo_match,status_match_inteligente,padrao_erro,motivo_original
MLB4249774981,Par Tambor Freio Traseiro Renault Duster 4x2 2.0 16v 2013,N/D,N/D,905.19,3,MLB4104228265,Pastilha Freio Dianteira Renault Duster 2.0 16v 2014 15/...,ECO1495,Ecopads,50.69,86.79,produto,MATCH_PROVAVEL,sku_ausente_ml,SEM_MATCH_SECONDS
MLB5420585658,Par Disco Freio Dianteiro Peugeot 106/206/207/306 Xsara 8v,MDS,N/D,874.4499999999999,4,MLB5454223000,Pastilha Freio Dianteira Peugeot 206 207 2001 A 2014,ECO1199,Ecopads,30.43,76.6,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6143572624,Par Disco De Freio Dianteiro L200 Triton 3.2 2008 Em Diante,N/D,N/D,863.59,2,MLB4203259403,Pastilha Freio L200 Triton Outdoor Gls 2.4 At 2021 Em Diante,OCDA1006,OriginALLparts,145.09,87.8,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
MLB5016446608,Junta Carter Borracha  Celta Corsa 1.0 1.6 8v Mpfi Efi,N/D,N/D,850.54,20,MLB4611778351,Junta Carter Cortiça Celta Corsa 1.0 1.6  8v Mpfi Efii,121908CB,Bastos Juntas,7.67,92.13,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB6153696204,Engate Reboque Outlander 2025 2026 700kg Removível Completo,N/D,N/D,825.84,1,MLB5677589044,Engate Reboque Removível 7 2025 A 2026,JO1000,Brucke,424.8,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB5420752296,Par Tambor Freio Montana 1.4 1.8 2004 05 06 07 08 09 10 Mds,MDS,N/D,802.92,3,MLB4217251493,Pastilha Freio A6 3.2 Fsi 04 05 06 07 08 09 10 11,OCDW0108,OriginALLparts,174.2,79.31,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4196605661,Engate Reboque Removível Audi A5 2011 Até 2017 700kg,N/D,N/D,766.14,1,MLB5750618430,Engate Reboque Removível A5 2011 A 2017,AD1010,Brucke,424.8,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4229902627,Engate Reboque Fixo Master 2014 A 2015,N/D,N/D,721.61,1,MLB5362376932,Engate Fixo Master 2014 A 2015,RE1015,Brucke,354.8,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4419938395,Pastilha De Freio Brembo Dianteira Up Tsi 1.0t 105hp P85041,N/D,N/D,720.96,2,MLB4421510613,Pastilha Freio Dianteiro Cerâmica Brembo Vw Up Tsi 2015 +,P85041N,Brembo,299.41,68.0,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6263889872,Kit Valvula Admissao E Escape Gol G4 G5 G6 Fox 1.6 8v Ea111,N/D,N/D,711.4,2,MLB6207447282,Valvula Admissao Motor C3 1.5 8v Flex,VADPG15A,Takao,59.32,92.68,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4228800975,Engate Reboque Removível Ducato Boxer Jumper 2019 A 2024,N/D,N/D,656.41,1,MLB4458097693,Engate Reboque Removível Ducato Boxer Jumper 2019 A 2026,FT4068,Brucke,424.8,99.07,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB5016360610,Junta Carter Cortiça Fox Gol Voyage Parati 1.0 8/16v Ea111,Bastos Juntas,111953CBL,651.53,18,MLB4604021465,Jogo Junta Motor  Fox Gol Voyage 1.0 8v Ea111 Flex,1110103PKR,Bastos Juntas,57.03,94.55,produto,MATCH_AUTOMATICO,sku_divergente; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6171623388,Jogo Anéis Motor Stander Parati Gol Saveiro Ap 1.6 1.8 8v,N/D,N/D,626.09,4,MLB5456883406,Jogo Pastilha Freio Dianteira Gol Parati Saveiro,ECO1041,Ecopads,21.01,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6612401208,Junta Cabeçote Aço Inox Onix Plus Ecotec 1.0 12v 19/24,N/D,N/D,606.01,3,MLB5107261184,Jogo Junta Motor Aço Inox Onix Ecotec Plus 1.0 12v 19/24,1210173ML,Bastos Juntas,178.72,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB5716939928,Pastilha Freio Mini Countryman Cooper S All4 2016 Em Diante,N/D,N/D,575.02,3,MLB4206704125,Pastilha Freio Mini Countryman (f60) Cooper All4 2010 A 2016,OCDA0435,OriginALLparts,119.33,90.14,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
