item_id,sku,produto,marca,categoria,motivo_sem_cmv,receita_total,pedidos,unidades
MLB6612401208,N/D,Junta Cabeçote Aço Inox Onix Plus Ecotec 1.0 12v 19/24,N/D,N/D,SEM_MATCH_SECONDS,606.01,3,3.0
MLB5298316606,BCH18A/STD,Jogo Bronzina Mancal Std Cr-v Civic Hr-v 1.8 2.0 16v  06/20,Takao,Bronzinas,PARAMETRO_NAO_CONFIAVEL,598.14,3,3.0
MLB5686798932,379216SP,"Kit Amortecedor Traseiro, Fiat Uno Way 1.4 2015","MONROE,REVIAM",Kits Completos Amortecedores,PARAMETRO_NAO_CONFIAVEL,580.0,1,1.0
MLB5716939928,N/D,Pastilha Freio Mini Countryman Cooper S All4 2016 Em Diante,N/D,N/D,SEM_MATCH_SECONDS,575.02,3,3.0
MLB4229915339,N/D,Engate Reboque Fixo Megane Grand Tour X-tr 2010 A 2012,N/D,N/D,SEM_MATCH_SECONDS,573.17,1,1.0
MLB4345296599,N/D,Bronzina Mancal Ford Novo Ka New Fiesta 1.5 16v Sigma,N/D,N/D,SEM_MATCH_SECONDS,570.29,3,3.0
MLB4604099641,141029PK,Jogo Junta Motor Palio Uno Siena Strada Fiasa 96/04,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,563.69,5,5.0
MLB6143703260,N/D,Junta Superior Cabeçote Civic 1.6 16v 95/00,N/D,N/D,SEM_MATCH_SECONDS,559.9300000000001,2,2.0
MLB4043416789,N/D,Engate Fixo Kombi 1997 A 2005,N/D,N/D,SEM_MATCH_SECONDS,555.64,1,1.0
MLB4506283343,T-64,Polia Do Virabrequim - Damper - Opala 4 E 6 Cc 1987...,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,546.94,1,1.0
MLB4229128117,GM3013,Engate Reboque Fixo Cruze Hatch 2012 A 2016,Brucke,Engate,PARAMETRO_NAO_CONFIAVEL,532.24,1,1.0
MLB5791136854,N/D,Par Tambor Freio Traseiro Chevrolet S10 4x2 2021 2022,N/D,N/D,SEM_MATCH_SECONDS,530.75,1,1.0
MLB4505545503,T-474,Polia Do Virabrequim C/damper - Sandero Il Rs/duster/ T-474,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,526.05,1,1.0
MLB5365850434,FO2018,Engate Fixo Focus Sedan Hatch 2009 A 2013,Brucke,Engate,PARAMETRO_NAO_CONFIAVEL,518.87,1,1.0
MLB5298213144,N/D,"Jogo Pistão 1,00 Fielder Corolla X60 1.8 16v 02/18",N/D,N/D,SEM_MATCH_SECONDS,518.3,1,1.0
MLB6230829704,N/D,Junta Tampa Válvulas Focus 2014-2019 2.0 Duratec Direct Flex,N/D,N/D,SEM_MATCH_SECONDS,517.87,4,4.0
MLB4591970513,T-419,Polia Girabrequim Triade Vectra 1997/2005,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,516.9,1,1.0
MLB5755067246,N/D,Engate Reboque Fixo Kicks 2017 A 2025,N/D,N/D,SEM_MATCH_SECONDS,515.01,1,1.0
MLB6545542038,PGM10A/050 - ASGM10/050,Kit Jg Pistão Com Aneis Classic Corsa Celta 1.0 8v 01/16,Takao,Kits de Pistãos e Camisas,PARAMETRO_NAO_CONFIAVEL,506.22,1,1.0
MLB6612474106,T-725,Polia Do Virabrequim Expert / Jumpy 1.6 8v 6pk,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,498.23,1,1.0
MLB5298162032,PFO16C/STD,Jogo Pistão Std Ka Courier Fiesta Focus 1.6 8v 04/15,Takao,Pistão,PARAMETRO_NAO_CONFIAVEL,497.53,1,1.0
MLB4606702211,T-726,Polia Virabrequim Jumpy Expert Scudo 1.5 Bluehdi Após 2021,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,496.33,1,1.0
MLB5752041720,HY1010,Engate Reboque Fixo Vera Cruz 2008 A 2012,Brucke,Engate,PARAMETRO_NAO_CONFIAVEL,495.64,1,1.0
MLB5368854594,FT4006,Engate Fixo Palio Adv. 2004 Até 2008/ Weekend 2004 Até 2020,Brucke,Engate,PARAMETRO_NAO_CONFIAVEL,493.16,1,1.0
MLB5751990576,HY1020,Engate Reboque Fixo Hb20x 2012 A 2022,Brucke,Engate,PARAMETRO_NAO_CONFIAVEL,492.19,1,1.0
MLB6629983570,141293ML,Junta Aço Motor Superior Uno Strada Argo Mobi 1.3 8v Firefl,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,481.38,1,1.0
MLB5298149864,N/D,"Jogo Pistão 0,40 Uno Siena Mobi 1.0 8v 11/19",N/D,N/D,SEM_MATCH_SECONDS,481.35,1,1.0
