campaign_id,campaign_name,impressions,clicks,cost,cpc,ctr,revenue,orders,units,acos,roas,conversion_rate,date_from,date_to,periodo_inicio,periodo_fim,data_ref
355395249,Campanha Indisa,27175,76,43.21,0.57,0.28,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
355714163,Campanha FW,4224,7,5.13,0.73,0.17,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
356119342,Campanha Green Parts,28755,44,54.73,1.24,0.15,97.03,,1,56.41,1.77,2.27,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
356637677,Campanha Multiqualita,178,1,0.67,0.67,0.56,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
353342072,Campanha OriginALLparts,69003,135,80.62,0.6,0.2,478.52,,3,16.85,5.94,2.22,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
356393911,Campanha Triade,48762,36,76.97,2.14,0.07,693.76,,1,11.09,9.01,2.78,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
352813615,Campanha Bastos,152706,431,96.51,0.22,0.28,1757.3,,16,5.49,18.21,3.71,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
353749496,Campanha Igasa Carter,3251,6,3.01,0.5,0.18,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
352823015,Campanha Brucke,44133,78,31.64,0.41,0.18,536.64,,1,5.9,16.96,1.28,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
352823053,Campanha FQ4,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
357735719,Campanha ISAPA Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
352827226,Campanha Takao,115765,184,69.61,0.38,0.16,967.32,,4,7.2,13.9,2.17,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
356931219,Campanha Distribuidores Nacio,66,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
355261248,Campanha Takao Curva A,100466,203,228.94,1.13,0.2,1553.55,,4,14.74,6.79,1.97,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
357712860,Campanha Originall Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
357728122,Campanha Green Parts Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
356894911,Campanha Produtos Parados,228,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
357207283,Campanha Mann,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
355810176,Campanha ISAPA,33899,53,60.06,1.13,0.16,377.98,,3,15.89,6.29,5.66,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
353128923,Campanha Eibach,7082,5,14.08,2.82,0.07,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
355704938,Campanha Ecoflex,36019,37,10.72,0.29,0.1,220.57,,1,4.86,20.58,2.7,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
353332506,Campanha MDS FREIOS,19332,35,8.87,0.25,0.18,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
353870011,Campanha PERFECT,473,1,0.12,0.12,0.21,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
355891771,Campanha Starke,9163,17,45.1,2.65,0.19,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
357695479,Campanha Bastos Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00,2026-05-04 00:00:00-03:00
